,,,,,,,,,,,,,,,,,,,,,,,,
idpub,brdxdy,sexrsp,deatyr,pi5760,pop57,yrer74,mx001rer,ru024rec,mz023rer,gx201re,gu024re,iz023rer,gi503re,hx201re,hu024re,jz023rer,hi503rea,q1x001rer,q1u024re,q1z023rer,q1i503rea,q1c003re,hd201kd,dglev
900268,38,2,2016,6,6,0,5,-2,4,1,-2,,-5,5,-5,,-2,,,,,,2,-2
900271,39,2,-2,35,3,0,4,2,2,4,0,2,8,4,-2,,7,3,-2,0,6,1,2,-2
900273,38,1,2019,-3,6,236,4,0,4,1,0,4,6,1,-2,3,11,,,,,,3,-2
900274,40,2,-2,135,4,52,5,0,4,2,0,2,6,1,-2,4,5,4,-2,6,7,1,3,-2
900275,39,2,-2,130,7,40,4,-2,5,2,-2,1,-2,2,-2,2,-2,,,,,,2,-2
900281,39,2,2010,58,6,30,,-3,,,,,,,,,,,,,,,,-2
900283,-3,1,-2,55,2,-3,,,,,,,,,,,,,,,,,,-3
900286,39,1,-2,32,5,160,5,0,8,1,0,4,3,2,-2,10,4,4,-2,0,5,1,2,-2
900295,38,1,-2,24,4,120,4,0,4,2,0,2,4,2,-2,,9,,,,,,4,-2
900299,40,2,-2,24,2,0,4,0,2,3,0,0,6,3,-2,4,8,3,1,6,0,2,5,-2
900308,39,2,2007,222,9,30,4,0,2,3,0,,10,,,,,,,,,,,-2
900309,40,1,-2,5,9,160,4,0,0,2,0,1,10,2,-2,1,9,5,-2,2,6,1,2,2
900310,39,2,-2,56,9,0,,,,,,,,,,,,,,,,,,-2
900311,39,1,1995,52,3,-3,2,0,4,,,,,,,,,,,,,,,-2
900316,39,2,-2,20,2,60,4,0,2,2,5,3,9,2,-2,6,9,,,,,,3,-2
900317,39,2,-2,42,3,0,4,0,4,3,0,3,5,3,-2,9,7,5,-2,1,0,1,0,-2
900318,38,1,1996,41,2,98,5,0,0,,,,,,,,,,,,,,,-2
900329,39,2,-2,12,2,15,5,0,0,1,0,3,7,1,-2,10,6,,,,,,3,-2
900330,39,1,-2,58,9,90,,0,,3,,2,,,,,,,,,,,,-2
900332,39,1,-2,63,2,97,3,-2,4,4,-2,-3,-2,5,-2,2,-2,,,,,,10,-2
900345,39,1,-2,98,6,250,,0,,4,,8,,,,,,,,,,,,-2
900347,39,1,2004,60,2,91,,,,,,,,,,,,,,,,,,-2
900348,38,1,2015,35,2,96,4,0,6,3,0,6,4,3,-2,2,6,,,,,,5,-2
900349,39,2,-2,432,6,0,4,-2,7,2,-2,8,-2,2,-2,8,-2,,,,,,2,3
900351,37,1,1994,187,5,80,,,,,,,,,,,,,,,,,,-2
900352,39,2,-2,52,5,12,5,0,2,1,0,2,6,1,-2,4,9,5,-2,10,6,1,4,-2
900353,39,2,-2,56,6,146,4,-2,5,2,-2,8,-2,2,-2,4,-2,,,,,,2,-2
900354,39,1,-2,73,4,143,4,-2,1,3,0,2,10,2,-2,0,8,4,-2,0,8,4,6,-2
900359,39,2,-2,87,6,0,5,0,3,2,5,3,9,2,-2,12,12,4,-2,2,8,1,2,2
900361,39,1,-2,231,7,5,,,,,,,,,,,,,,,,,,-2
900365,39,2,-2,58,2,10,4,7,4,4,5,4,6,3,-2,6,6,,,,,,3,-2
900369,38,1,-2,30,4,650,5,0,2,1,0,0,11,1,-2,0,10,5,-2,0,6,1,1,4
900371,39,1,-2,71,2,540,4,0,1,3,0,1,11,2,4,0,11,4,3,0,7,2,2,4
900382,39,2,-2,62,6,10,3,0,4,3,0,10,8,,,,,,,,,,,-2
900384,39,2,2005,51,3,22,4,-2,1,5,-2,0,-2,,,,,,,,,,,-2
900387,38,2,2018,5,3,50,4,0,10,3,0,3,10,,,,,,,,,,,-2
900389,39,2,2007,34,6,0,5,0,8,2,0,12,5,,,,,,,,,,,2
900391,37,1,-2,29,6,150,4,0,2,1,0,0,4,1,-2,20,4,4,1,0,4,1,4,-2
900392,39,1,-2,-3,3,255,,0,,2,0,,11,,,,,,,,,,,-2
900394,38,2,-2,80,9,100,4,-2,8,2,-2,,-2,4,-2,-29,-2,3,5,2,4,2,8,-2
900395,38,1,1973,55,9,-3,,,,,,,,,,,,,,,,,,-3
900396,39,1,2015,-3,2,190,3,-2,2,3,0,5,10,4,3,0,10,,,,,,5,3
900397,40,2,2011,53,4,35,4,0,2,3,0,0,4,,,,,,,,,,,-2
900400,39,1,-2,32,9,120,4,-2,1,3,-2,2,-2,3,-2,1,-2,,,,,,3,-2
900402,39,2,-2,77,3,0,,0,,,,,,,,,,,,,,,,-2
900404,40,2,1987,110,7,0,,,,,,,,,,,,,,,,,,-2
900406,39,1,2018,121,4,140,5,0,1,1,0,2,6,1,-2,4,8,,,,,,2,-2
