,,,,,,,,,,,,,,,,,,,,,,,,
idpub,brdxdy,sexrsp,deatyr,pi5760,pop57,yrer74,mx001rer,ru024rec,mz023rer,gx201re,gu024re,iz023rer,gi503re,hx201re,hu024re,jz023rer,hi503rea,q1x001rer,q1u024re,q1z023rer,q1i503rea,q1c003re,hd201kd,dglev
906973,39,1,-2,61,9,188,,0,,2,,0,,3,-2,,6,4,-2,0,12,1,2,1
906978,39,1,-2,90,8,156,,0,,3,0,,12,3,-2,2,6,4,-2,3,12,1,6,2
906983,39,2,2009,27,4,1,3,-2,30,3,5,-3,5,,,,,,,,,,,-2
906989,39,2,-2,44,9,0,,,,,,,,,,,,,,,,,,-2
906991,39,2,-2,85,8,0,3,0,1,2,0,1,0,2,2,1,2,4,2,2,6,2,2,-2
906994,39,2,-2,7,3,0,4,0,4,3,0,2,11,4,-2,,-2,,,,,,6,-2
906997,39,1,-2,50,9,135,4,7,0,3,0,0,5,3,0,-29,6,4,-2,0,6,1,5,-2
906998,39,1,1994,42,4,130,3,0,2,,,,,,,,,,,,,,,-2
907002,39,1,2014,34,2,200,4,-2,4,1,-2,4,-2,3,-2,-29,-2,,,,,,6,-2
907006,39,2,2001,51,4,20,4,0,3,,,,,,,,,,,,,,,-2
907008,39,1,-2,44,4,150,,-2,,1,-2,,-2,2,-2,0,-2,,,,,,4,-2
907010,39,2,2017,69,6,0,4,0,0,3,0,0,7,2,-2,-29,7,,,,,,5,-2
907011,39,2,1998,82,6,20,4,5,3,,,,,,,,,,,,,,,-2
907013,39,2,-2,55,6,8,5,0,0,3,4,1,8,3,-2,0,0,,,,,,3,2
907014,39,2,-2,60,6,0,4,0,8,3,0,,7,,,,,,,,,,,-2
907018,39,2,-2,23,4,29,,0,,3,0,2,6,3,-2,-29,3,3,6,28,4,1,3,-2
907019,39,2,-2,53,2,24,,0,,2,0,2,11,2,-2,1,10,,,,,,5,-2
907020,38,1,2013,66,2,188,,-2,,,,,,5,-2,,-2,,,,,,5,-2
907021,39,1,-2,16,3,140,,0,,2,0,4,9,3,-2,,8,4,-2,5,8,1,3,-2
907025,39,1,-2,23,4,80,,,,,,,,,,,,,,,,,,-2
907033,39,2,2018,62,5,72,4,0,6,2,0,3,7,2,-2,2,7,,,,,,2,-2
907037,39,1,-2,7,9,190,,0,,1,0,,5,1,-5,,6,,,,,,2,3
907042,40,2,-2,91,9,0,5,0,2,2,-5,3,-5,,,,,,,,,,,-2
907044,38,2,-2,-3,4,0,4,0,6,1,0,8,12,4,-2,20,10,4,-2,4,0,1,2,2
907054,39,1,-2,19,2,120,,0,,,,,,,,,,,,,,,,-2
907058,39,2,-2,89,9,125,3,6,2,1,-2,3,11,2,-2,2,7,4,6,30,7,1,2,-2
907062,-3,1,2006,-3,8,-3,,,,,,,,,,,,,,,,,,-3
907063,39,2,-2,61,7,0,4,0,0,3,0,0,0,3,-2,,0,4,3,4,6,1,2,-2
907065,39,1,-2,66,4,120,,4,,3,0,2,0,3,-2,0,7,3,-2,0,6,1,2,-2
907072,39,1,2014,-3,4,0,4,0,0,3,0,2,5,,,,,,,,,,,-2
907078,39,1,1997,27,4,120,4,0,16,,,,,,,,,,,,,,,-2
907079,39,1,2016,38,2,140,4,0,0,3,0,0,10,4,-2,-29,8,,,,,,4,-2
907082,-3,2,-2,78,8,-3,,,,,,,,,,,,,,,,,,-3
907083,39,1,2016,28,2,100,4,6,3,2,6,3,5,3,-2,0,7,,,,,,6,-2
907087,38,1,-2,49,4,128,4,-2,1,1,-2,5,-2,1,-2,13,-2,,,,,,2,2
907093,38,1,-2,115,6,-3,5,0,0,2,0,,10,1,-2,0,9,,,,,,2,2
907094,39,1,2008,70,8,31,5,-2,1,1,-2,1,-2,,,,,,,,,,,-2
907095,39,2,-2,49,2,135,5,0,0,1,0,3,8,1,-2,4,8,4,7,4,0,1,1,-2
907097,39,2,-2,42,6,125,5,0,1,2,0,3,12,2,-2,4,9,4,-2,4,5,2,5,3
907113,-3,2,-2,16,9,-3,,,,,,,,,,,,,,,,,,-3
907114,38,1,2011,29,4,210,4,0,2,4,0,0,8,,,,,,,,,,,-2
907115,38,2,-2,48,6,60,4,0,3,2,6,0,6,,,,,,,,,,,-2
907117,39,2,-2,105,2,100,4,0,2,2,0,0,4,2,-2,1,4,4,-2,0,1,1,2,2
907119,37,1,-2,16,3,170,4,0,15,2,0,12,4,2,-2,6,0,,,,,,2,-2
907122,39,1,2019,117,4,200,4,0,4,1,0,2,11,2,-2,4,8,,,,,,3,2
907123,39,1,-2,29,4,0,,-3,,3,,-3,,,,,,,,,,,,-2
907124,39,1,2010,-3,2,132,,-2,,5,-2,4,-2,,,,,,,,,,,-2
907126,39,2,-2,-3,7,0,4,5,12,1,3,,6,2,2,,7,4,2,30,8,1,4,-2
907128,39,2,-2,23,6,-3,4,7,0,2,5,4,6,,,,,3,-2,2,0,1,,-2
907129,39,1,2007,111,6,170,4,-2,2,1,-2,,-2,,,,,,,,,,,-2
907138,39,1,-2,99,3,70,4,0,6,2,0,4,6,2,-2,-29,0,4,-2,0,0,1,4,-2
907139,39,2,-2,95,9,4,3,-2,2,3,2,3,5,3,-2,2,4,4,-2,0,5,1,4,-2
907143,39,1,-2,22,4,70,4,0,0,2,0,1,7,1,-2,2,6,2,-2,0,7,1,0,2
907147,38,2,1994,49,6,-3,3,-2,2,,,,,,,,,,,,,,,-2
907151,39,2,2015,41,2,0,5,0,6,3,0,,6,2,-2,2,4,,,,,,4,-2
907153,37,2,-2,-3,2,0,4,-2,2,3,,-3,,,,,,,,,,,,-2
907156,39,2,-2,33,4,0,4,0,7,,,,,,,,,,,,,,,-2
907158,39,2,-2,39,9,20,5,0,2,1,0,4,6,1,-2,,6,,,,,,6,-2
907163,39,2,-2,44,4,40,5,0,4,1,0,4,6,1,-2,0,7,5,-2,28,0,3,3,-2
907164,39,2,-2,72,9,0,5,0,10,3,0,8,6,2,-2,10,8,4,-2,10,6,1,2,-2
907173,39,1,-2,-3,4,120,4,0,1,3,0,2,8,3,-2,0,10,,,,,,5,2
907174,40,1,-2,21,3,80,4,0,2,1,0,0,8,1,-2,,8,4,-2,1,8,1,6,-2
907177,39,2,-2,26,6,80,4,7,6,3,5,4,8,4,-2,5,3,4,5,16,4,1,4,-2
907178,39,1,-2,21,2,310,5,0,8,1,,8,,,,,,,,,,,,-2
907179,39,1,-2,96,9,90,4,-2,5,,,,,1,-2,8,-2,,,,,,3,2
907180,39,2,2018,21,4,20,5,4,8,3,5,4,8,,,,,,,,,,,-2
907181,39,1,2015,33,3,140,4,0,3,2,0,4,7,2,-2,2,0,,,,,,5,-2
907182,39,1,2017,-3,2,220,4,0,1,2,0,2,4,3,-2,0,7,,,,,,5,-2
907188,39,1,-2,65,8,150,5,0,1,1,0,4,6,2,-2,,8,5,-2,0,6,2,5,-2
907198,39,1,2019,24,9,120,4,0,0,3,5,-3,6,4,4,2,4,,,,,,4,-2
907199,38,2,-2,26,3,-3,,0,,,,,,4,-2,2,4,,,,,,2,-2
907200,38,1,-2,88,6,0,4,0,2,3,4,0,12,2,-2,,8,4,3,9,8,5,7,-2
907201,39,2,2017,67,6,8,,0,,,,,,,,,,,,,,,,-2
907203,39,1,1985,31,3,80,,,,,,,,,,,,,,,,,,-2
907205,-3,2,-2,35,6,-3,,,,,,,,,,,,,,,,,,-3
907211,39,2,2018,91,2,0,5,-2,4,1,-2,4,-2,,,,,,,,,,,2
907213,39,2,2019,18,4,0,4,0,2,3,0,2,11,3,5,2,9,,,,,,2,-2
907214,39,1,-2,64,2,300,4,4,0,1,3,,6,2,-2,2,9,,,,,,3,-2
907215,39,1,2018,998,3,157,3,-2,5,4,-2,0,8,4,7,-29,6,,,,,,2,-2
907217,39,2,-2,68,7,-3,,0,,,,,,,,,,,,,,,,-2
907224,38,1,-2,28,3,165,,,,4,0,8,0,4,4,5,3,,,,,,8,-2
907225,39,2,-2,102,7,20,,-2,,4,-2,4,-2,4,-2,3,-2,,,,,,5,-2
907226,39,2,2018,-3,5,0,5,-2,5,1,-2,8,-2,2,-2,4,-2,,,,,,3,-2
907229,39,1,-2,57,7,165,4,0,2,3,0,0,6,3,-2,8,6,,,,,,4,-2
907231,39,1,-2,45,4,176,4,0,2,2,0,0,11,2,-2,3,8,4,-2,0,0,1,4,2
907234,40,2,-2,24,2,104,4,7,2,4,0,,12,4,4,,5,3,-2,30,10,3,10,-2
907238,39,1,1971,48,7,-3,,,,,,,,,,,,,,,,,,-3
907244,39,1,2019,44,3,115,3,-2,1,3,0,2,0,3,-2,4,5,,,,,,4,-2
907246,39,2,2018,20,2,0,,0,,3,0,4,6,4,-2,20,0,,,,,,3,-2
907247,39,1,2018,-3,2,100,4,0,2,2,0,0,8,3,-2,0,7,,,,,,2,-2
907250,39,2,2017,50,6,0,,0,,4,0,,0,5,-2,,3,,,,,,5,-2
907254,37,1,2000,21,9,223,,-2,,,,,,,,,,,,,,,,-2
907256,39,2,-2,26,4,75,3,-2,2,3,-2,1,6,,,,,,,,,,,-2
907259,39,2,1964,142,4,-3,,,,,,,,,,,,,,,,,,-3
907261,39,1,-2,191,3,250,4,0,1,1,0,1,9,2,-2,4,10,4,-2,18,8,1,2,3
907263,38,1,-2,-3,4,115,4,0,3,2,0,4,5,2,-2,,5,3,-2,-1,0,1,2,2
907264,39,1,-2,41,3,178,5,0,3,1,0,1,10,2,-2,0,8,4,-2,15,10,1,4,-2
907267,39,2,-2,227,7,30,4,7,16,2,5,20,6,3,-2,10,8,2,-2,0,6,1,2,2
907269,38,1,-2,209,6,121,5,-2,4,,,,,,,,,,,,,,,4
907272,39,2,-2,-3,4,0,,0,,3,-5,4,-5,3,-2,5,8,3,-2,4,6,1,3,-2
907278,40,1,-2,54,6,110,-3,0,2,2,0,4,4,3,-2,4,7,3,-2,4,0,1,2,-2
907279,39,1,-2,78,9,200,,,,1,0,2,9,3,-2,1,10,,,,,,4,-2
907282,39,2,-2,123,9,0,4,7,2,3,2,6,10,4,3,5,0,3,7,5,7,1,2,-2
907284,39,1,2002,19,4,152,,4,,,,,,,,,,,,,,,,-2
907285,39,2,2018,79,6,40,,,,1,4,0,6,2,6,5,8,,,,,,2,3
907286,39,2,2014,56,6,30,5,0,7,3,,4,,-1,4,7,8,,,,,,6,-2
907287,38,2,-2,59,9,55,5,0,2,1,0,0,6,1,-27,6,-27,,,,,,3,-2
907291,39,1,-2,4,5,150,5,-2,1,,,,,,,,,,,,,,,-2
907293,39,2,-2,20,2,0,4,-2,6,-1,-2,6,-2,4,-2,2,-2,,,,,,3,-2
907303,39,2,-2,-3,5,0,,,,4,,3,,,,,,,,,,,,-2
907304,39,2,-2,40,4,0,4,0,3,3,0,6,4,-30,-30,4,-30,4,-2,1,12,1,2,-2
907305,38,1,2002,70,5,150,,,,,,,,,,,,,,,,,,4
907308,37,2,-2,89,6,15,5,0,0,1,0,0,6,1,-2,2,9,5,-2,3,0,1,5,-2
907311,39,2,2008,49,4,0,,-2,,2,-2,-3,-2,,,,,,,,,,,-2
907312,39,2,2015,141,6,7,,5,,,,,,,,,,,,,,,,-2
907321,39,1,2016,86,7,220,4,0,0,,,,,,,,,,,,,,,2
907325,38,2,-2,53,6,32,5,0,12,1,6,3,6,2,4,4,8,4,-2,5,5,2,4,-2
907328,39,1,2015,48,3,70,3,0,7,4,0,8,0,3,-2,-29,1,,,,,,2,-2
907331,39,1,-2,90,6,245,4,0,3,3,0,2,4,2,-2,,0,4,3,0,4,1,2,2
907332,39,2,2017,29,4,0,,,,,,,,,,,,,,,,,,-2
907333,39,2,-2,29,3,17,5,0,15,2,-2,8,8,1,-2,8,6,4,-2,1,0,1,4,-2
907337,39,1,-2,63,3,245,4,-2,2,2,-2,2,-2,-30,-30,2,-30,,,,,,4,-2
907340,39,2,2011,-3,3,110,4,6,1,3,0,5,5,3,4,4,6,,,,,,6,-2
907343,39,1,2007,58,9,130,,,,3,0,10,10,,,,,,,,,,,2
907344,39,2,-2,64,7,0,4,0,3,2,0,3,7,2,-2,1,7,4,-2,0,6,1,4,-2
907347,39,2,-2,38,9,6,4,0,10,3,-2,,6,4,5,4,1,,,,,,5,-2
907351,39,1,-2,62,6,116,4,4,2,3,0,3,8,3,-2,3,6,4,4,0,7,3,3,-2
907353,39,1,-2,69,3,160,5,3,2,3,-2,1,6,2,-2,4,0,5,-2,26,0,1,3,2
907356,39,2,-2,34,3,35,3,-2,2,3,0,2,6,3,-2,3,6,3,-2,2,0,1,2,-2
907359,39,1,-2,33,3,210,5,0,2,2,0,1,0,2,-2,0,8,5,3,1,9,3,7,-2
907362,39,1,-2,36,3,85,4,6,4,4,4,3,8,3,-2,8,6,2,2,28,0,1,5,-2
907370,39,2,-2,40,4,0,4,-2,4,1,-2,12,-2,1,-2,3,-2,,,,,,4,-2
907372,38,1,-2,99,4,170,5,0,0,2,7,2,8,2,1,1,7,,,,,,6,-2
907373,39,1,-2,78,4,180,4,0,0,2,0,2,9,2,-2,-29,4,4,-2,0,9,1,2,-2
907374,39,1,-2,18,4,160,4,2,2,2,0,2,6,2,-2,12,6,4,-2,6,7,1,7,-2
907375,39,1,1990,45,4,170,,,,,,,,,,,,,,,,,,-2
907385,38,2,1994,65,6,55,,,,,,,,,,,,,,,,,,2
907386,39,2,-2,93,5,0,4,0,4,2,0,2,10,3,-2,6,0,3,-2,6,0,1,3,-2
907388,39,1,2004,68,4,0,,,,,,,,,,,,,,,,,,-2
907392,38,2,-2,32,4,3,,-3,,1,0,,12,1,-2,10,8,5,-2,10,0,2,2,-2
907393,39,2,-2,112,4,55,4,-2,2,3,-2,8,-2,3,-2,5,-2,,,,,,4,-2
907400,38,1,2018,45,6,100,3,-2,3,3,-2,,-2,,,,,,,,,,,-2
907402,39,2,-2,22,8,58,,-2,,,,,,,,,,,,,,,,-2
907405,39,2,-2,13,2,0,,0,,2,,6,,2,-2,4,9,,,,,,7,-2
907410,39,2,1987,41,2,80,,,,,,,,,,,,,,,,,,1
907412,38,1,1981,29,4,140,,,,,,,,,,,,,,,,,,-2
907417,39,2,-2,96,9,0,,0,,,,,,,,,,,,,,,,2
907420,40,1,-2,81,2,190,5,-2,4,1,-2,12,-2,1,-2,,-2,5,-2,6,6,1,3,3
907427,39,1,2018,48,4,0,4,0,2,3,0,0,9,2,-2,4,9,,,,,,2,-2
907429,39,2,-2,57,9,158,,,,1,6,3,10,1,-2,3,10,4,4,1,4,1,1,-2
907431,39,1,-2,136,7,100,5,0,1,1,0,0,5,1,-2,1,5,5,-2,1,6,2,1,2
907436,39,2,-2,84,2,0,4,-2,12,2,-2,1,-2,3,-2,8,-2,3,-2,16,0,1,2,-2
907439,39,2,-2,64,4,30,5,0,3,2,6,12,11,1,6,2,5,,,,,,2,-2
907441,-3,2,-2,38,6,-3,,,,,,,,,,,,,,,,,,-3
907446,37,2,-2,-3,5,0,,,,2,3,-3,-3,2,-2,-29,6,3,-2,0,3,1,3,-2
907449,-3,1,1967,26,2,-3,,,,,,,,,,,,,,,,,,-3
907453,39,2,2015,70,7,82,3,-2,3,5,-2,2,5,,,,,,,,,,,-2
907454,-3,1,1960,26,2,-3,,,,,,,,,,,,,,,,,,-3
907456,38,2,-2,-3,3,41,4,-2,4,4,-2,2,7,3,-2,2,7,3,-2,0,5,2,5,-2
907457,39,1,2019,50,6,210,5,0,3,3,-2,3,11,3,4,,7,,,,,,4,4
907460,39,1,-2,34,9,0,5,0,2,2,4,2,8,3,-2,2,9,4,-2,4,11,1,3,4
907464,40,2,-2,20,3,0,,0,,1,0,1,4,3,-2,3,7,2,-2,10,1,1,1,-2
907465,39,2,-2,31,4,35,5,0,2,2,0,2,8,2,-2,3,7,4,-2,1,5,2,1,-2
907469,-3,1,-2,81,8,-3,,,,,,,,,,,,,,,,,,-3
907473,39,1,2014,11,4,210,5,-2,1,2,-2,1,-2,3,-2,0,-2,,,,,,2,2
907475,40,1,2018,30,5,300,5,5,1,3,-2,3,8,3,-2,5,6,,,,,,2,4
907476,39,1,-2,91,5,163,5,0,0,1,6,2,5,1,-2,6,9,5,-2,0,6,1,2,2
907482,39,1,-2,629,2,380,5,0,20,3,0,3,12,3,-2,8,10,3,-2,8,8,1,3,2
907485,39,1,2005,64,2,157,,0,,4,2,,6,,,,,,,,,,,-2
907494,39,1,-2,69,9,154,,-3,,1,,-3,,,,,,,,,,,,-2
907497,37,1,-2,24,2,70,,0,,2,0,-3,2,2,-2,3,5,4,-2,0,4,2,2,-2
907498,39,1,-2,28,4,140,,-2,,2,-2,2,-2,2,-2,2,-2,,,,,,4,-2
907499,39,1,2019,28,4,0,3,-2,10,4,-2,,-2,4,-2,0,-2,,,,,,7,-2
907501,39,2,-2,-3,2,0,4,0,8,2,0,4,4,2,-2,4,10,4,-2,8,8,1,5,-2
907502,38,2,1978,-3,6,29,,,,,,,,,,,,,,,,,,-2
907506,37,1,1998,58,5,150,,0,,,,,,,,,,,,,,,,-2
907508,-3,1,-2,25,3,-3,,,,,,,,,,,,,,,,,,-3
907512,-3,2,-2,49,2,-3,,,,,,,,,,,,,,,,,,-3
907519,-3,2,1962,49,2,-3,,,,,,,,,,,,,,,,,,-3
907524,39,2,-2,107,9,54,,0,,2,3,3,7,2,-2,6,9,,,,,,2,-2
907526,39,2,2013,42,2,40,,0,,,,,,2,-2,6,8,,,,,,4,-2
907529,39,2,-2,110,7,1,4,0,3,1,0,4,12,1,-2,8,6,5,6,2,11,1,2,2
907530,-3,2,-2,23,7,-3,,,,,,,,,,,,,,,,,,-3
907533,39,2,-2,56,9,0,4,-2,2,1,-2,0,-2,1,-2,,-2,,,,,,6,-2
907534,39,2,-2,172,7,0,,-2,,1,0,-3,10,1,-2,8,6,3,-2,16,2,1,2,-2
907536,39,2,-2,81,6,0,4,0,1,1,0,0,0,2,-2,1,6,4,-2,0,5,1,4,-2
907542,39,1,-2,68,6,98,4,-2,2,1,0,1,5,2,-2,4,7,4,-2,8,0,2,3,-2
907549,38,2,-2,35,3,6,4,0,2,2,,2,,3,-2,-29,9,4,5,0,0,1,6,-2
907555,39,2,1999,-3,2,10,,0,,,,,,,,,,,,,,,,-2
907561,39,1,-2,86,6,180,5,0,2,1,0,4,6,1,-2,2,4,5,-2,28,7,1,3,-2
907569,39,2,-2,37,6,21,4,-2,20,1,-2,-3,-2,1,-2,24,-2,5,1,6,9,1,4,-2
907570,39,2,-2,24,4,4,4,-2,5,2,-2,-3,-2,,,,,,,,,,,-2
907581,38,2,-2,53,5,120,4,-2,16,2,-2,12,-2,3,-2,4,-2,,,,,,3,-2
907583,-3,1,2004,68,6,-3,,,,,,,,,,,,,,,,,,-3
907587,40,1,2015,-3,3,120,4,0,2,2,0,0,7,,,,,,,,,,,-2
907590,39,2,-2,90,4,0,,,,1,,-3,,,,,,,,,,,,-2
907595,38,1,-2,64,5,150,3,0,4,3,0,,10,2,-2,3,12,4,-2,0,9,1,4,-2
907597,39,1,2000,95,6,190,,,,,,,,,,,,,,,,,,3
907600,39,2,-2,47,9,12,5,0,2,3,0,0,6,-30,-30,0,-30,4,2,8,7,3,3,1
907604,39,2,-2,23,2,0,,0,,2,0,,9,3,-2,21,7,4,-2,7,4,1,3,-2
907621,39,2,-2,-3,4,0,4,0,0,3,0,1,7,3,4,2,11,3,-2,0,8,1,2,-2
907623,39,2,2012,56,5,108,4,-2,5,4,-2,4,-2,,,,,,,,,,,2
907624,39,2,-2,38,4,0,4,-2,3,,,,,,,,,,,,,,,-2
907627,39,1,-2,-3,4,170,5,0,4,2,0,1,11,2,-2,4,5,4,-2,0,6,2,2,1
907629,38,2,-2,27,2,30,5,0,8,2,0,10,7,1,-2,-29,6,,,,,,3,-2
907635,38,1,2002,55,4,114,4,0,4,,,,,,,,,,,,,,,-2
907637,38,2,-2,119,9,0,,,,2,4,4,9,,,,,,,,,,,-2
907644,39,1,2018,84,9,120,,0,,2,0,2,6,2,-2,,4,,,,,,1,-2
907645,39,1,-2,28,7,170,,,,,,,,,,,,,,,,,,-2
907651,39,2,2015,-3,4,80,5,0,2,2,0,6,0,1,6,5,5,,,,,,4,-2
907653,40,1,2018,-3,2,150,4,0,0,3,0,1,7,2,1,0,7,,,,,,2,-2
907658,38,1,-2,6,9,120,5,0,0,1,0,20,2,1,-2,-29,6,4,-2,0,6,1,4,-2
907660,39,2,-2,92,5,80,4,-2,10,2,-2,10,-2,2,-2,3,-2,,,,,,0,-2
907661,39,2,-2,30,4,14,4,5,12,3,5,3,6,3,5,15,6,3,4,2,0,1,5,-2
907662,39,2,-2,79,4,2,4,0,5,2,0,6,5,2,-2,2,6,4,-2,2,5,1,2,-2
907664,39,2,-2,39,4,0,4,0,8,3,0,5,0,-30,-30,5,-30,4,-2,0,6,1,4,-2
907667,-3,2,-2,65,9,-3,,,,,,,,,,,,,,,,,,-3
907672,39,2,2018,105,8,0,5,0,5,,,,,-30,-30,0,-30,,,,,,2,2
907674,39,2,2017,13,9,59,,-3,,,,,,,,,,,,,,,,2
907681,39,2,1993,96,3,0,,0,,,,,,,,,,,,,,,,-2
907682,39,2,-2,163,4,175,4,0,4,1,0,6,7,2,-2,4,2,5,-2,28,0,0,1,3
907689,39,1,2013,38,6,160,5,-2,10,2,-2,,-2,3,-2,-29,-2,,,,,,2,-2
907690,39,2,-2,55,3,0,4,4,1,3,0,2,6,3,-2,2,9,4,-2,4,6,1,6,-2
907694,39,1,-2,37,2,-3,,-3,,2,0,,-3,,,,,,,,,,,-2
907697,39,2,-2,10,2,24,4,-2,4,3,-2,3,-2,4,-2,6,-2,,,,,,2,-2
907702,40,1,-2,21,3,100,4,0,1,3,0,2,6,3,-2,,7,4,-2,2,5,2,5,-2
907705,39,1,-2,30,4,147,,0,,1,0,2,9,1,-2,1,6,4,-2,2,5,1,4,1
907717,39,2,-2,37,4,130,4,-2,15,4,-2,4,-2,-30,-30,2,-30,,,,,,0,3
907723,39,2,2008,43,4,0,5,0,0,,,,,,,,,,,,,,,-2
907726,39,1,2015,57,4,151,4,6,1,2,,4,,3,-2,3,11,,,,,,5,3
907727,-3,2,-2,32,2,-3,,,,,,,,,,,,,,,,,,-3
907728,40,2,-2,-3,3,0,,6,,3,6,,0,2,-2,,0,4,4,25,0,1,5,-2
907729,39,2,-2,52,5,170,5,-2,4,1,-2,1,-2,,,,,,,,,,,-2
907732,39,2,-2,70,9,0,4,-2,4,2,-2,0,-2,2,-2,2,-2,,,,,,2,-2
907734,39,1,2016,19,2,-3,,-3,,,,,,2,-2,,4,,,,,,5,-2
907738,39,2,-2,13,3,0,5,0,8,2,0,4,10,2,-2,4,7,5,-2,8,0,1,4,-2
907740,-3,2,-2,10,9,-3,,,,,,,,,,,,,,,,,,-3
907741,38,1,1980,39,4,60,,,,,,,,,,,,,,,,,,-2
907744,39,1,-2,82,9,135,5,-2,1,3,-2,4,-2,,,,,,,,,,,-2
907748,39,2,2004,50,9,0,4,0,2,2,2,10,10,,,,,,,,,,,-2
907751,-3,1,-2,-3,2,-3,,,,,,,,,,,,,,,,,,-3
907753,39,2,2013,41,2,75,,0,,3,,2,,4,-2,4,8,,,,,,3,-2
907755,39,1,2012,75,4,130,3,4,2,4,0,2,8,4,4,1,5,,,,,,5,-2
907761,39,1,-2,63,4,170,3,0,3,5,-2,4,8,5,-2,12,9,1,2,2,0,2,2,-2
907770,39,1,2008,16,2,110,4,0,5,2,0,-3,6,,,,,,,,,,,2
907772,39,2,2002,28,9,-3,4,2,2,,,,,,,,,,,,,,,-2
907775,39,1,-2,43,5,200,4,0,4,2,0,1,-3,1,-2,-1,7,4,0,3,6,1,3,-2
907777,39,1,2003,96,9,130,,0,,,,,,,,,,,,,,,,-2
907778,-3,1,1962,1,4,-3,,,,,,,,,,,,,,,,,,-3
907780,39,1,-2,-3,3,129,5,0,4,1,5,6,10,1,-2,8,8,4,-2,8,8,1,4,-2
907784,37,2,-2,61,2,0,5,0,2,1,,8,,1,-2,2,4,5,-2,4,6,1,4,-2
907786,39,1,2009,-3,4,210,4,-2,2,3,-2,2,-2,,,,,,,,,,,-2
907790,39,2,-2,51,9,0,,,,,,,,,,,,,,,,,,-2
907791,39,2,-2,52,4,0,4,0,4,2,5,0,4,,,,,,,,,,,-2
907792,39,1,1990,57,5,100,,,,,,,,,,,,,,,,,,-2
907797,39,1,-2,85,9,200,4,0,3,-3,,4,,,,,,,,,,,,-2
907810,39,2,-2,23,4,0,5,0,2,3,0,-3,10,,,,,,,,,,,-2
907813,39,1,-2,61,6,0,4,0,0,1,0,1,12,3,-2,0,6,4,-2,4,9,1,4,2
907814,39,2,-2,107,2,65,5,0,4,1,0,8,9,1,-2,12,7,4,-2,10,8,2,3,-2
907817,39,2,-2,59,9,0,4,0,4,2,0,2,6,2,-2,4,6,4,-2,4,6,1,3,-2
907820,38,1,2010,-3,4,35,3,0,4,2,0,0,2,,,,,,,,,,,-2
907825,39,2,2019,31,3,0,3,3,4,5,1,0,0,5,-2,-29,0,,,,,,4,1
907827,-3,2,-2,58,2,-3,,,,,,,,,,,,,,,,,,-3
907831,38,1,2019,41,7,140,,,,,,,,,,,,,,,,,,-2
907833,39,2,2016,30,6,5,4,-2,0,1,-2,4,-2,2,-2,5,-2,,,,,,3,-2
907834,39,1,1990,106,4,420,,,,,,,,,,,,,,,,,,-2
907835,39,1,-2,76,9,190,,0,,1,0,0,7,,,,,,,,,,,-2
907840,38,1,-2,25,8,600,,0,,2,0,2,6,3,-2,1,6,4,-2,4,0,1,2,-2
907841,39,2,-2,108,7,0,4,0,6,2,0,2,8,2,-2,4,4,,,,,,1,-2
907843,38,1,-2,-3,9,240,,,,,,,,,,,,,,,,,,4
907846,38,2,-2,-3,6,20,4,1,0,3,0,2,-3,3,-2,0,9,4,-2,0,3,1,3,-2
907848,39,1,2011,3,5,170,,-2,,3,-2,3,-2,4,-2,15,-2,,,,,,3,-2
907852,39,2,-2,12,3,38,4,6,3,2,6,1,12,2,-2,6,11,3,-2,5,12,2,5,-2
907857,38,1,1989,70,8,110,,,,,,,,,,,,,,,,,,-2
907858,39,1,1964,19,3,-3,,,,,,,,,,,,,,,,,,-3
907859,39,1,-2,87,4,200,5,0,5,1,0,-3,-3,,,,,,,,,,,4
907863,39,2,-2,59,6,80,4,0,1,2,0,2,0,3,-2,5,8,,,,,,6,-2
907865,39,2,-2,50,5,120,2,0,5,4,0,2,12,3,-2,4,8,4,-2,4,9,1,3,-2
907867,39,1,-2,-3,4,74,,0,,3,0,1,4,,,,,,,,,,,-2
907872,39,2,-2,17,4,0,5,-2,8,2,-2,5,-2,2,-2,-29,-2,4,-2,10,0,1,5,-2
907874,39,1,1993,102,6,150,4,-2,2,,,,,,,,,,,,,,,-2
907875,39,2,-2,40,3,0,4,-2,8,3,4,6,8,2,6,,5,3,3,3,0,1,2,-2
907880,39,2,-2,47,9,15,4,-2,2,3,-2,0,-2,3,-2,1,-2,,,,,,4,-2
907886,39,1,1986,42,4,250,,,,,,,,,,,,,,,,,,-2
907890,38,1,1991,78,8,-3,,,,,,,,,,,,,,,,,,-3
907894,39,1,-2,64,7,160,4,5,5,2,2,4,7,4,-2,4,0,3,-2,3,0,3,3,-2
907897,39,1,1995,108,9,220,,,,,,,,,,,,,,,,,,2
907901,39,1,-2,13,2,150,,,,,,,,,,,,,,,,,,2
907903,38,2,-2,29,2,0,4,-2,3,2,-2,4,-2,2,-2,4,-2,,,,,,2,-2
907909,39,2,1996,118,9,0,5,0,3,,,,,,,,,,,,,,,-2
907913,39,1,-2,23,2,0,,,,1,0,0,5,,,,,,,,,,,-2
907915,39,2,-2,64,4,75,5,-2,0,1,-2,2,-2,1,-2,-29,-2,,,,,,3,-2
907917,39,1,-2,132,8,350,4,3,15,2,0,15,8,2,-2,20,10,5,-2,5,4,1,3,2
